epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,142.418,1.42414,1.68744,1.08785,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.0018317,0.0018317,0.0018317
87,143.993,1.44283,1.7334,1.11275,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00182972,0.00182972,0.00182972
88,145.341,1.40567,2.52406,1.10913,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00182774,0.00182774,0.00182774
89,146.685,1.64618,1.47232,1.0742,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00182576,0.00182576,0.00182576
90,148.39,1.4058,1.73351,1.13903,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00182378,0.00182378,0.00182378
91,150.434,1.40876,1.56843,1.07023,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.0018218,0.0018218,0.0018218
92,152.164,1.44788,1.54398,1.11227,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00181982,0.00181982,0.00181982
93,153.474,1.40662,1.67626,1.07681,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00181784,0.00181784,0.00181784
94,154.835,1.44205,1.91984,1.15681,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00181586,0.00181586,0.00181586
95,156.181,1.43842,1.52961,1.13497,0.64657,0.58108,0.59363,0.28784,1.81108,1.78227,1.34574,0.00181388,0.00181388,0.00181388
96,157.523,1.26196,1.97093,1.13251,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.0018119,0.0018119,0.0018119
97,158.869,1.38137,1.74375,1.12664,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00180992,0.00180992,0.00180992
98,160.46,1.3549,1.43871,1.02635,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00180794,0.00180794,0.00180794
99,161.973,1.30766,1.39258,1.03679,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00180596,0.00180596,0.00180596
100,164.001,1.29417,1.44223,1.05005,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00180398,0.00180398,0.00180398
101,166.077,1.37105,2.14025,1.13382,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.001802,0.001802,0.001802
102,167.421,1.25497,1.6835,1.04218,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00180002,0.00180002,0.00180002
103,168.798,1.34627,1.4775,1.05671,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00179804,0.00179804,0.00179804
104,170.128,1.41517,1.42665,1.02051,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00179606,0.00179606,0.00179606
105,171.425,1.367,1.33251,1.01227,0.64147,0.58029,0.61296,0.31573,1.66096,1.57802,1.26171,0.00179408,0.00179408,0.00179408
106,172.722,1.29368,1.64791,1.09788,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.0017921,0.0017921,0.0017921
107,174.217,1.11565,1.42798,1.00168,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00179012,0.00179012,0.00179012
108,175.518,1.17215,1.27907,0.97905,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00178814,0.00178814,0.00178814
109,177.17,1.28791,1.32007,0.99977,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00178616,0.00178616,0.00178616
110,179.282,1.31771,1.37488,1.09422,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00178418,0.00178418,0.00178418
111,180.97,1.22847,1.55655,1.07759,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.0017822,0.0017822,0.0017822
112,182.27,1.13791,1.9041,1.07165,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00178022,0.00178022,0.00178022
113,183.615,1.23241,1.48615,1.01381,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00177824,0.00177824,0.00177824
114,184.956,1.21476,1.43018,1.03747,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00177626,0.00177626,0.00177626
115,186.251,1.26881,1.69709,1.08699,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.00177428,0.00177428,0.00177428
116,187.517,1.20079,1.25514,1.01789,0.77565,0.63514,0.71488,0.35301,1.56259,1.45481,1.14951,0.0017723,0.0017723,0.0017723
117,189.106,1.20888,1.36049,1.02241,0.70585,0.47297,0.59578,0.33979,1.55505,1.63681,1.12291,0.00177032,0.00177032,0.00177032
